DistrictType,Office,Party,DistrictNumber,Votes,Year
Congressional District,Attorney General,All,CD1,440294,2020
Congressional District,Attorney General,All,CD10,393305,2020
Congressional District,Attorney General,All,CD11,382029,2020
Congressional District,Attorney General,All,CD12,341195,2020
Congressional District,Attorney General,All,CD13,363646,2020
Congressional District,Attorney General,All,CD14,376701,2020
Congressional District,Attorney General,All,CD15,348886,2020
Congressional District,Attorney General,All,CD16,358914,2020
Congressional District,Attorney General,All,CD17,429413,2020
Congressional District,Attorney General,All,CD18,387571,2020
Congressional District,Attorney General,All,CD2,278532,2020
Congressional District,Attorney General,All,CD3,378871,2020
Congressional District,Attorney General,All,CD4,444989,2020
Congressional District,Attorney General,All,CD5,398654,2020
Congressional District,Attorney General,All,CD6,401667,2020
Congressional District,Attorney General,All,CD7,374530,2020
Congressional District,Attorney General,All,CD8,350296,2020
Congressional District,Attorney General,All,CD9,352467,2020
Congressional District,Attorney General,Democratic,CD1,228343,2020
Congressional District,Attorney General,Democratic,CD10,186411,2020
Congressional District,Attorney General,Democratic,CD11,141088,2020
Congressional District,Attorney General,Democratic,CD12,110243,2020
Congressional District,Attorney General,Democratic,CD13,102851,2020
Congressional District,Attorney General,Democratic,CD14,156661,2020
Congressional District,Attorney General,Democratic,CD15,109268,2020
Congressional District,Attorney General,Democratic,CD16,153340,2020
Congressional District,Attorney General,Democratic,CD17,232709,2020
Congressional District,Attorney General,Democratic,CD18,259178,2020
Congressional District,Attorney General,Democratic,CD2,198341,2020
Congressional District,Attorney General,Democratic,CD3,336440,2020
Congressional District,Attorney General,Democratic,CD4,271299,2020
Congressional District,Attorney General,Democratic,CD5,251250,2020
Congressional District,Attorney General,Democratic,CD6,217514,2020
Congressional District,Attorney General,Democratic,CD7,194056,2020
Congressional District,Attorney General,Democratic,CD8,180416,2020
Congressional District,Attorney General,Democratic,CD9,129255,2020
Congressional District,Attorney General,Green,CD1,3981,2020
Congressional District,Attorney General,Green,CD10,3885,2020
Congressional District,Attorney General,Green,CD11,3283,2020
Congressional District,Attorney General,Green,CD12,3344,2020
Congressional District,Attorney General,Green,CD13,2964,2020
Congressional District,Attorney General,Green,CD14,2788,2020
